,path,emotion
0,data/training\Actor_01\01_01_01_01_dogs-sitting_negative.wav,negative
1,data/training\Actor_01\01_01_01_01_kids-talking_negative.wav,negative
2,data/training\Actor_01\01_01_01_02_dogs-sitting_negative.wav,negative
3,data/training\Actor_01\01_01_01_02_kids-talking_negative.wav,negative
4,data/training\Actor_01\01_01_02_01_dogs-sitting_negative.wav,negative
5,data/training\Actor_01\01_01_02_01_kids-talking_negative.wav,negative
6,data/training\Actor_01\01_01_02_02_dogs-sitting_negative.wav,negative
7,data/training\Actor_01\01_01_02_02_kids-talking_negative.wav,negative
8,data/training\Actor_01\01_02_01_01_dogs-sitting_negative.wav,negative
9,data/training\Actor_01\01_02_01_01_kids-talking_negative.wav,negative
10,data/training\Actor_01\01_02_01_02_dogs-sitting_negative.wav,negative
11,data/training\Actor_01\01_02_01_02_kids-talking_negative.wav,negative
12,data/training\Actor_01\01_02_02_01_dogs-sitting_negative.wav,negative
13,data/training\Actor_01\01_02_02_01_kids-talking_negative.wav,negative
14,data/training\Actor_01\01_02_02_02_dogs-sitting_negative.wav,negative
15,data/training\Actor_01\01_02_02_02_kids-talking_negative.wav,negative
16,data/training\Actor_01\03-02-04-01-01-01-01_negative.wav,negative
17,data/training\Actor_01\03-02-04-01-01-02-01_negative.wav,negative
18,data/training\Actor_01\03-02-04-01-02-01-01_negative.wav,negative
19,data/training\Actor_01\03-02-04-01-02-02-01_negative.wav,negative
20,data/training\Actor_01\03-02-04-02-01-01-01_negative.wav,negative
21,data/training\Actor_01\03-02-04-02-01-02-01_negative.wav,negative
22,data/training\Actor_01\03-02-04-02-02-01-01_negative.wav,negative
23,data/training\Actor_01\03-02-04-02-02-02-01_negative.wav,negative
24,data/training\Actor_01\03-02-05-01-01-01-01_negative.wav,negative
25,data/training\Actor_01\03-02-05-01-01-02-01_negative.wav,negative
26,data/training\Actor_01\03-02-05-01-02-01-01_negative.wav,negative
27,data/training\Actor_01\03-02-05-01-02-02-01_negative.wav,negative
28,data/training\Actor_01\03-02-05-02-01-01-01_negative.wav,negative
29,data/training\Actor_01\03-02-05-02-01-02-01_negative.wav,negative
30,data/training\Actor_01\03-02-05-02-02-01-01_negative.wav,negative
31,data/training\Actor_01\03-02-05-02-02-02-01_negative.wav,negative
32,data/training\Actor_01\03-02-06-01-01-01-01_negative.wav,negative
33,data/training\Actor_01\03-02-06-01-01-02-01_negative.wav,negative
34,data/training\Actor_01\03-02-06-01-02-01-01_negative.wav,negative
35,data/training\Actor_01\03-02-06-01-02-02-01_negative.wav,negative
36,data/training\Actor_01\03-02-06-02-01-01-01_negative.wav,negative
37,data/training\Actor_01\03-02-06-02-01-02-01_negative.wav,negative
38,data/training\Actor_01\03-02-06-02-02-01-01_negative.wav,negative
39,data/training\Actor_01\03-02-06-02-02-02-01_negative.wav,negative
40,data/training\Actor_01\0_01_01_01_01_dogs-sitting_negative.wav,negative
41,data/training\Actor_01\11_01_01_01_02_dogs-sitting_negative.wav,negative
42,data/training\Actor_01\12_01_01_01_02_kids-talking_negative.wav,negative
43,data/training\Actor_01\13_01_01_01_02_kids-talking_negative.wav,negative
44,data/training\Actor_01\15_01_01_01_02_kids-talking_negative.wav,negative
45,data/training\Actor_01\17_01_01_02_01_dogs-sitting_negative.wav,negative
46,data/training\Actor_01\18_01_01_02_01_dogs-sitting_negative.wav,negative
47,data/training\Actor_01\1_01_01_01_01_dogs-sitting_negative.wav,negative
48,data/training\Actor_01\20_01_01_02_01_dogs-sitting_negative.wav,negative
49,data/training\Actor_01\22_01_01_02_01_kids-talking_negative.wav,negative
50,data/training\Actor_01\23_01_01_02_01_kids-talking_negative.wav,negative
51,data/training\Actor_01\25_01_01_02_01_kids-talking_negative.wav,negative
52,data/training\Actor_01\28_01_01_02_02_dogs-sitting_negative.wav,negative
53,data/training\Actor_01\29_01_01_02_02_dogs-sitting_negative.wav,negative
54,data/training\Actor_01\31_01_01_02_02_dogs-sitting_negative.wav,negative
55,data/training\Actor_01\33_01_01_02_02_kids-talking_negative.wav,negative
56,data/training\Actor_01\34_01_01_02_02_kids-talking_negative.wav,negative
57,data/training\Actor_01\36_01_01_02_02_kids-talking_negative.wav,negative
58,data/training\Actor_01\37_01_02_01_01_dogs-sitting_negative.wav,negative
59,data/training\Actor_01\38_01_02_01_01_dogs-sitting_negative.wav,negative
60,data/training\Actor_01\39_01_02_01_01_kids-talking_negative.wav,negative
61,data/training\Actor_01\3_01_01_01_01_kids-talking_negative.wav,negative
62,data/training\Actor_01\40_01_02_01_01_kids-talking_negative.wav,negative
63,data/training\Actor_01\41_01_02_01_02_dogs-sitting_negative.wav,negative
64,data/training\Actor_01\42_01_02_01_02_dogs-sitting_negative.wav,negative
